uomName,uomCategory,uomType,uomRatio,uomRounding
GM(s),Weight,smaller,1000,0.001
KG(s),Weight,reference,1,0.001
KG-LT,Weight-Volume,reference,1,0.001
LT-0.806,Weight-Volume,bigger,0.806,0.001
LT-0.931,Weight-Volume,bigger,0.931,0.001
LT-1.050,Weight-Volume,bigger,1.05,0.001
LT-1.023,Weight-Volume,bigger,1.023,0.001
LT-0.783,Weight-Volume,bigger,0.783,0.001
LT-1.030,Weight-Volume,bigger,1.03,0.001
LT-0.974,Weight-Volume,bigger,0.974,0.001
LT-0.994,Weight-Volume,bigger,0.994,0.001
LT-1.123,Weight-Volume,bigger,1.123,0.001
LT-1.050,Weight-Volume,bigger,1.05,0.001
LT-1.047,Weight-Volume,bigger,1.047,0.001
LT-1.048,Weight-Volume,bigger,1.048,0.001
LT-1.101,Weight-Volume,bigger,1.101,0.001
LT-0.807,Weight-Volume,bigger,0.807,0.001
LT-1.212,Weight-Volume,bigger,1.212,0.001
LT-2.910,Weight-Volume,bigger,2.91,0.001
LT-1.496,Weight-Volume,bigger,1.496,0.001
LT-1.120,Weight-Volume,bigger,1.12,0.001
LT-0.985,Weight-Volume,bigger,0.985,0.001
LT-0.901,Weight-Volume,bigger,0.901,0.001
LT-1.056,Weight-Volume,bigger,1.056,0.001
LT-0.738,Weight-Volume,bigger,0.738,0.001
LT-0.694,Weight-Volume,bigger,0.694,0.001
LT-1.267,Weight-Volume,bigger,1.267,0.001
LT-1.480,Weight-Volume,bigger,1.48,0.001
LT-0.780,Weight-Volume,bigger,0.78,0.001
LT-1.060,Weight-Volume,bigger,1.06,0.001
LT-0.947,Weight-Volume,bigger,0.947,0.001
LT-1.052,Weight-Volume,bigger,1.052,0.001
LT-1.034,Weight-Volume,bigger,1.034,0.001
LT-0.960,Weight-Volume,bigger,0.96,0.001
LT-1.216,Weight-Volume,bigger,1.216,0.001
LT-0.964,Weight-Volume,bigger,0.964,0.001
LT-1.214,Weight-Volume,bigger,1.214,0.001
LT-0.717,Weight-Volume,bigger,0.717,0.001
LT-0.950,Weight-Volume,bigger,0.95,0.001
LT-1.100,Weight-Volume,bigger,1.1,0.001
LT-1.050,Weight-Volume,bigger,1.05,0.001
LT-0.704,Weight-Volume,bigger,0.704,0.001
LT-1.117,Weight-Volume,bigger,1.117,0.001
LT-1.101,Weight-Volume,bigger,1.101,0.001
LT-0.942,Weight-Volume,bigger,0.942,0.001
LT-0.958,Weight-Volume,bigger,0.958,0.001
LT-1.034,Weight-Volume,bigger,1.034,0.001
LT-0.756,Weight-Volume,bigger,0.756,0.001
LT-1.115,Weight-Volume,bigger,1.115,0.001
LT-1.016,Weight-Volume,bigger,1.016,0.001
LT-0.902,Weight-Volume,bigger,0.902,0.001
LT-1.047,Weight-Volume,bigger,1.047,0.001
LT-1.254,Weight-Volume,bigger,1.254,0.001
LT-1.063,Weight-Volume,bigger,1.063,0.001
LT-0.924,Weight-Volume,bigger,0.924,0.001
LT-1.095,Weight-Volume,bigger,1.095,0.001
LT-1.190,Weight-Volume,bigger,1.19,0.001
LT-1.134,Weight-Volume,bigger,1.134,0.001
LT-1.260,Weight-Volume,bigger,1.26,0.001
LT-1.106,Weight-Volume,bigger,1.106,0.001
LT-1.262,Weight-Volume,bigger,1.262,0.001
LT-0.693,Weight-Volume,bigger,0.693,0.001
LT-1.150,Weight-Volume,bigger,1.15,0.001
LT-0.684,Weight-Volume,bigger,0.684,0.001
LT-0.665,Weight-Volume,bigger,0.665,0.001
LT-1.030,Weight-Volume,bigger,1.03,0.001
LT-1.480,Weight-Volume,bigger,1.48,0.001
LT-1.130,Weight-Volume,bigger,1.13,0.001
LT-1.150,Weight-Volume,bigger,1.15,0.001
LT-0.873,Weight-Volume,bigger,0.873,0.001
LT-0.786,Weight-Volume,bigger,0.786,0.001
LT-1.210,Weight-Volume,bigger,1.21,0.001
LT-0.896,Weight-Volume,bigger,0.896,0.001
LT-0.803,Weight-Volume,bigger,0.803,0.001
LT-0.802,Weight-Volume,bigger,0.802,0.001
LT-1.325,Weight-Volume,bigger,1.325,0.001
LT-1.108,Weight-Volume,bigger,1.108,0.001
LT-2.274,Weight-Volume,bigger,2.274,0.001
LT-1.180,Weight-Volume,bigger,1.18,0.001
LT-0.933,Weight-Volume,bigger,0.933,0.001
LT-1.090,Weight-Volume,bigger,1.09,0.001
LT-1.000,Weight-Volume,bigger,1,0.001
LT-0.811,Weight-Volume,bigger,0.811,0.001
LT-0.881,Weight-Volume,bigger,0.881,0.001
LT-1.204,Weight-Volume,bigger,1.204,0.001
LT-1.750,Weight-Volume,bigger,1.75,0.001
LT-1.750,Weight-Volume,bigger,1.75,0.001
LT-1.750,Weight-Volume,bigger,1.75,0.001
LT-1.046,Weight-Volume,bigger,1.046,0.001
LT-1.040,Weight-Volume,bigger,1.04,0.001
LT-1.037,Weight-Volume,bigger,1.037,0.001
LT-0.983,Weight-Volume,bigger,0.983,0.001
LT-1.099,Weight-Volume,bigger,1.099,0.001
LT-0.994,Weight-Volume,bigger,0.994,0.001
LT-1.126,Weight-Volume,bigger,1.126,0.001
LT-1.128,Weight-Volume,bigger,1.128,0.001
LT-1.126,Weight-Volume,bigger,1.126,0.001
LT-1.167,Weight-Volume,bigger,1.167,0.001
LT-1.285,Weight-Volume,bigger,1.285,0.001
LT-1.000,Weight-Volume,bigger,1,0.001
LT-1.466,Weight-Volume,bigger,1.466,0.001
LT-1.123,Weight-Volume,bigger,1.123,0.001
LT-0.728,Weight-Volume,bigger,0.728,0.001
LT-0.785,Weight-Volume,bigger,0.785,0.001
LT-1.270,Weight-Volume,bigger,1.27,0.001
LT-1.080,Weight-Volume,bigger,1.08,0.001
LT-1.600,Weight-Volume,bigger,1.6,0.001
LT-1.124,Weight-Volume,bigger,1.124,0.001
LT-0.932,Weight-Volume,bigger,0.932,0.001
LT(s),Volume,reference,1,0.001
LT-KG,Volume-Weight,reference,1,0.001
KG-0.967,Volume-Weight,smaller,0.967,0.001
KG-0.792,Volume-Weight,smaller,0.792,0.001
KG-1.000,Volume-Weight,smaller,1,0.001
KG-1.105,Volume-Weight,smaller,1.105,0.001
KG-0.879,Volume-Weight,smaller,0.879,0.001
KG-3.120,Volume-Weight,smaller,3.12,0.001
KG-0.804,Volume-Weight,smaller,0.804,0.001
KG-0.950,Volume-Weight,smaller,0.95,0.001
KG-1.056,Volume-Weight,smaller,1.056,0.001
KG-1.040,Volume-Weight,smaller,1.04,0.001
KG-0.990,Volume-Weight,smaller,0.99,0.001
KG-0.925,Volume-Weight,smaller,0.925,0.001
KG-1.290,Volume-Weight,smaller,1.29,0.001
KG-0.985,Volume-Weight,smaller,0.985,0.001
KG-1.307,Volume-Weight,smaller,1.307,0.001
KG-1.160,Volume-Weight,smaller,1.16,0.001
KG-0.677,Volume-Weight,smaller,0.677,0.001
KG-1.180,Volume-Weight,smaller,1.18,0.001
KG-1.236,Volume-Weight,smaller,1.236,0.001
KG-1.150,Volume-Weight,smaller,1.15,0.001
KG-0.811,Volume-Weight,smaller,0.811,0.001
KG-0.692,Volume-Weight,smaller,0.692,0.001
KG-1.600,Volume-Weight,smaller,1.6,0.001
KG-1.090,Volume-Weight,smaller,1.09,0.001
KG-0.793,Volume-Weight,smaller,0.793,0.001
KG-0.830,Volume-Weight,smaller,0.83,0.001
KG-1.116,Volume-Weight,smaller,1.116,0.001
KG-0.835,Volume-Weight,smaller,0.835,0.001
KG-1.420,Volume-Weight,smaller,1.42,0.001
KG-1.400,Volume-Weight,smaller,1.4,0.001
KG-1.020,Volume-Weight,smaller,1.02,0.001
KG-1.000,Volume-Weight,smaller,1,0.001
KG-0.916,Volume-Weight,smaller,0.916,0.001
KG-0.854,Volume-Weight,smaller,0.854,0.001
KG-0.894,Volume-Weight,smaller,0.894,0.001
KG-0.875,Volume-Weight,smaller,0.875,0.001
KG-0.850,Volume-Weight,smaller,0.85,0.001
KG-1.700,Volume-Weight,smaller,1.7,0.001
KG-0.645,Volume-Weight,smaller,0.645,0.001
KG-0.627,Volume-Weight,smaller,0.627,0.001
KG-1.540,Volume-Weight,smaller,1.54,0.001
KG-1.700,Volume-Weight,smaller,1.7,0.001
KG-0.915,Volume-Weight,smaller,0.915,0.001
KG-1.180,Volume-Weight,smaller,1.18,0.001
KG-1.840,Volume-Weight,smaller,1.84,0.001
KG-1.840,Volume-Weight,smaller,1.84,0.001
KG-0.970,Volume-Weight,smaller,0.97,0.001
KG-1.840,Volume-Weight,smaller,1.84,0.001
KG-1.840,Volume-Weight,smaller,1.84,0.001
KG-0.864,Volume-Weight,smaller,0.864,0.001
KG-1.623,Volume-Weight,smaller,1.623,0.001
KG-1.100,Volume-Weight,smaller,1.1,0.001
KG-0.994,Volume-Weight,smaller,0.994,0.001
KG-1.000,Volume-Weight,smaller,1,0.001
KG-0.865,Volume-Weight,smaller,0.865,0.001
KG-0.882,Volume-Weight,smaller,0.882,0.001
