a10529,FALSE,FALSE,FALSE,All
A14129,FALSE,FALSE,FALSE,All
b11225,FALSE,FALSE,FALSE,All
b20829,FALSE,FALSE,FALSE,All
b21671,FALSE,FALSE,FG,All
c10117,FALSE,FALSE,FALSE,All
c10529,FALSE,FALSE,FALSE,All
C14029,FALSE,FALSE,FALSE,All
c21709,FALSE,FALSE,FALSE,All
CITRIC,FALSE,FALSE,FALSE,All
d15051,FALSE,FALSE,FALSE,All
DIMETHYL AMINO BENZALDEHYDE 100G,FALSE,FALSE,FALSE,All
e21371,FALSE,FALSE,FALSE,All
f11201,FALSE,FALSE,FALSE,All
f11829,FALSE,FALSE,FALSE,All
f20,FALSE,FALSE,FALSE,All
f406559,FALSE,FALSE,FALSE,All
hydroch,FALSE,FALSE,FALSE,All
hydrochloric Acid A.R.,FALSE,FALSE,FG,All
i11129,FALSE,FALSE,FG,All
i71537,FALSE,FALSE,FALSE,All
l11629,FALSE,FALSE,FALSE,All
LEISHMAN STAIN,FALSE,FALSE,FALSE,All
m10129,FALSE,FALSE,FALSE,All
m21271,FALSE,FALSE,FALSE,All
m41309,FALSE,FALSE,FALSE,All
ng4403,FALSE,FALSE,FALSE,All
NG6503,FALSE,FALSE,FG,All
ng7478,FALSE,FALSE,FALSE,All
NG8213,FALSE,FALSE,FALSE,All
p11929,FALSE,FALSE,FALSE,All
P13029,FALSE,FALSE,FALSE,All
P13129,FALSE,FALSE,FALSE,All
p13429,FALSE,FALSE,FALSE,All
p40871,FALSE,FALSE,FG,All
P40871,FALSE,FALSE,FALSE,All
p84651,FALSE,FALSE,FALSE,All
P84651,FALSE,FALSE,FALSE,All
POTASSIUM HYDROXIDE O,FALSE,FALSE,FALSE,All
POTASSIUM NITRAE,FALSE,FALSE,FALSE,All
s122229,FALSE,FALSE,FALSE,All
S13725,FALSE,FALSE,FALSE,All
s15051,FALSE,FALSE,FG,All
s20815,FALSE,FALSE,FG,All
s20850,FALSE,FALSE,FALSE,All
s39929,FALSE,FALSE,FALSE,All
s51271,FALSE,FALSE,FALSE,All
Service,FALSE,FALSE,FG,All
u10229,FALSE,FALSE,FALSE,All
W2540,FALSE,FALSE,FALSE,All
w25520,FALSE,FALSE,FALSE,All
W25520,FALSE,FALSE,FALSE,All
w25530,FALSE,FALSE,FALSE,All
w25568,FALSE,FALSE,FALSE,All
w25570,FALSE,FALSE,FALSE,All
z10529,FALSE,FALSE,FALSE,All
